Date,Open,High,Low,Close,Adj Close,Volume
2023-04-18,358.000000,360.000000,344.000000,356.000000,325.375854,29375400
2023-04-26,358.000000,386.000000,354.000000,386.000000,352.795135,51469000
2023-04-27,386.000000,392.000000,380.000000,386.000000,352.795135,28542200
2023-04-28,386.000000,390.000000,386.000000,386.000000,352.795135,12816700
2023-05-02,390.000000,390.000000,372.000000,378.000000,345.483337,22015700
2023-05-03,384.000000,384.000000,364.000000,366.000000,334.515594,29113600
2023-05-04,366.000000,372.000000,362.000000,366.000000,334.515594,17519000
2023-05-05,368.000000,372.000000,366.000000,366.000000,334.515594,14474700
2023-05-08,366.000000,382.000000,364.000000,380.000000,347.311310,24302100
2023-05-09,380.000000,384.000000,374.000000,374.000000,341.827423,12323700
2023-05-10,378.000000,380.000000,374.000000,376.000000,343.655365,10156600
2023-05-11,378.000000,380.000000,370.000000,380.000000,347.311310,17025200
2023-05-12,380.000000,382.000000,372.000000,378.000000,345.483337,12643300
2023-05-15,378.000000,388.000000,376.000000,380.000000,347.311310,23341900
2023-05-16,380.000000,386.000000,372.000000,374.000000,341.827423,16674100
2023-05-17,374.000000,376.000000,370.000000,370.000000,338.171509,11132300
2023-05-19,370.000000,374.000000,358.000000,360.000000,329.031738,28561300
2023-05-22,360.000000,364.000000,354.000000,356.000000,325.375854,12316000
2023-05-23,356.000000,370.000000,356.000000,364.000000,332.687653,12260400
2023-05-24,366.000000,366.000000,360.000000,362.000000,330.859711,0
2023-05-25,364.000000,366.000000,358.000000,358.000000,327.203796,8233600
2023-05-26,354.000000,360.000000,354.000000,354.000000,323.547882,10119000
2023-05-29,354.000000,356.000000,350.000000,352.000000,321.719910,10921600
2023-05-30,352.000000,356.000000,350.000000,352.000000,321.719910,4331200
2023-05-31,352.000000,356.000000,350.000000,350.000000,319.891968,7532000
2023-06-05,352.000000,356.000000,350.000000,352.000000,321.719910,9441500
2023-06-06,354.000000,360.000000,350.000000,360.000000,329.031738,12779000
2023-06-07,360.000000,362.000000,358.000000,360.000000,329.031738,18849200
2023-06-08,360.000000,368.000000,358.000000,366.000000,334.515594,22540100
2023-06-09,370.000000,370.000000,360.000000,360.000000,329.031738,12455700
2023-06-12,362.000000,380.000000,358.000000,370.000000,338.171509,34706400
2023-06-13,372.000000,374.000000,366.000000,374.000000,341.827423,15174000
2023-06-14,374.000000,382.000000,372.000000,378.000000,345.483337,14782200
2023-06-15,378.000000,382.000000,374.000000,378.000000,345.483337,6772800
2023-06-16,378.000000,378.000000,372.000000,372.000000,339.999451,12393800
2023-06-19,376.000000,382.000000,372.000000,380.000000,347.311310,11319600
2023-06-20,380.000000,382.000000,374.000000,376.000000,343.655365,6197000
2023-06-21,376.000000,382.000000,374.000000,376.000000,343.655365,11518300
2023-06-22,378.000000,380.000000,376.000000,376.000000,343.655365,5960800
2023-06-23,376.000000,384.000000,374.000000,380.000000,347.311310,17167900
2023-06-26,380.000000,384.000000,376.000000,376.000000,343.655365,13324400
2023-06-27,376.000000,384.000000,376.000000,382.000000,349.139252,14205400
2023-07-03,386.000000,390.000000,376.000000,378.000000,345.483337,23881300
2023-07-04,380.000000,382.000000,378.000000,382.000000,349.139252,12107600
2023-07-05,382.000000,406.000000,380.000000,398.000000,363.762848,66706900
